filename,true_positives,false_positives,false_negatives,total_completed,total_initial,mean_iou,precision,recall,f_score
00240001_2024-08-25_1_3436b918bc_processed_00376.txt,6,5,3,11,10,0.9561118326399007,0.5454545454545454,0.6666666666666666,0.6
00240001_2024-08-25_1_3436b918bc_processed_00379.txt,9,8,2,17,14,0.7465881333988637,0.5294117647058824,0.8181818181818182,0.6428571428571428
00240001_2024-08-25_1_3436b918bc_processed_00573.txt,10,11,3,21,14,0.9336186121467344,0.47619047619047616,0.7692307692307693,0.588235294117647
00240001_2024-08-25_1_3436b918bc_processed_00870.txt,4,2,1,6,5,0.9999216693812076,0.6666666666666666,0.8,0.7272727272727272
00240001_2024-08-25_1_3436b918bc_processed_00898.txt,3,3,2,6,5,0.9999340630484631,0.5,0.6,0.5454545454545454
00320001_2023-11-11_2_539d89c2a1_processed_00029.txt,5,3,6,8,13,0.7619009478967006,0.625,0.45454545454545453,0.5263157894736842
00320001_2023-11-11_2_539d89c2a1_processed_00283.txt,7,1,1,8,9,0.8757473745796002,0.875,0.875,0.875
00320001_2023-11-11_2_539d89c2a1_processed_00384.txt,11,2,6,13,19,0.8913056685732499,0.8461538461538461,0.6470588235294118,0.7333333333333334
00320001_2023-11-11_2_539d89c2a1_processed_00433.txt,5,7,5,12,11,0.8827685107776901,0.4166666666666667,0.5,0.45454545454545453
00320001_2023-11-11_2_539d89c2a1_processed_00481.txt,4,5,4,9,8,0.999906218699357,0.4444444444444444,0.5,0.47058823529411764
00320002_2024-03-06_2_03cab5e461_processed_00067.txt,3,2,0,5,3,0.9998411915981075,0.6,1,0.7499999999999999
00320002_2024-03-06_2_03cab5e461_processed_00430.txt,2,6,3,8,5,0.9999257883730084,0.25,0.4,0.3076923076923077
00320002_2024-03-06_2_03cab5e461_processed_00590.txt,12,4,5,16,17,0.9998239639551535,0.75,0.7058823529411765,0.7272727272727272
00320002_2024-03-06_2_03cab5e461_processed_00679.txt,8,3,0,11,8,0.9995514081838339,0.7272727272727273,1,0.8421052631578948
00320002_2024-04-20_1_0699a5194e_processed_00113.txt,2,3,3,5,5,0.9999478450571777,0.4,0.4,0.4000000000000001
