item_id,language,form,item_kind,category,item_definition,english_gloss,uni_lemma,is_animate,is_small,is_big,is_bodypart,is_place,lexical_category,complexity_category,sense,alternative_forms,multiword,AoA
item_154,English (American),WS,word,food_drink,water,water,water,0,0,0,0,0,nouns,,beverage,,no,20
item_155,English (American),WS,word,food_drink,yogurt,yogurt,yogurt,0,1,0,0,0,nouns,,,,no,24
item_156,English (American),WS,word,clothing,beads,beads,beads,0,1,0,0,0,nouns,,,,no,
item_157,English (American),WS,word,clothing,belt,belt,belt,0,1,0,0,0,nouns,,,,no,27
item_158,English (American),WS,word,clothing,bib,bib,bib,0,1,0,0,0,nouns,,,,no,25
item_159,English (American),WS,word,clothing,boots,boots,boots,0,1,0,0,0,nouns,,,,no,23
item_16,English (American),WS,word,animals,bear,bear,bear,1,0,0,0,0,nouns,,,,no,20
item_160,English (American),WS,word,clothing,button,button,button,0,1,0,0,0,nouns,,,,no,24
item_161,English (American),WS,word,clothing,coat,coat,coat,0,1,0,0,0,nouns,,,,no,24
item_162,English (American),WS,word,clothing,diaper,diaper,diaper,0,1,0,0,0,nouns,,,,no,20
item_163,English (American),WS,word,clothing,dress,dress,dress,0,1,0,0,0,nouns,,object,,no,26
item_164,English (American),WS,word,clothing,gloves,gloves,glove,0,1,0,0,0,nouns,,,,no,27
item_165,English (American),WS,word,clothing,hat,hat,hat,0,1,0,0,0,nouns,,,,no,19
item_166,English (American),WS,word,clothing,jacket,jacket,jacket,0,1,0,0,0,nouns,,,,no,24
item_167,English (American),WS,word,clothing,jeans,jeans,jeans,0,1,0,0,0,nouns,,,,no,28
item_168,English (American),WS,word,clothing,mittens,mittens,mitten,0,1,0,0,0,nouns,,,,no,28
item_169,English (American),WS,word,clothing,necklace,necklace,necklace,0,1,0,0,0,nouns,,,,no,27
item_17,English (American),WS,word,animals,bee,bee,bee,1,0,0,0,0,nouns,,,,no,22
item_170,English (American),WS,word,clothing,pajamas,pajamas,pajamas,0,1,0,0,0,nouns,,,,no,24
item_171,English (American),WS,word,clothing,pants,pants,pants,0,1,0,0,0,nouns,,,,no,23
item_172,English (American),WS,word,clothing,scarf,scarf,scarf,0,1,0,0,0,nouns,,,,no,
item_173,English (American),WS,word,clothing,shirt,shirt,shirt,0,1,0,0,0,nouns,,,,no,23
item_174,English (American),WS,word,clothing,shoe,shoe,shoe,0,1,0,0,0,nouns,,,,no,17
item_175,English (American),WS,word,clothing,shorts,shorts,shorts,0,1,0,0,0,nouns,,,,no,26
item_176,English (American),WS,word,clothing,slipper,slipper,slipper,0,1,0,0,0,nouns,,,,no,27
item_177,English (American),WS,word,clothing,sneaker,sneaker,sneaker,0,1,0,0,0,nouns,,,,no,30
item_178,English (American),WS,word,clothing,snowsuit,snowsuit,snowsuit,0,1,0,0,0,nouns,,,,no,
item_179,English (American),WS,word,clothing,sock,sock,sock,0,1,0,0,0,nouns,,,,no,21
item_18,English (American),WS,word,animals,bird,bird,bird,1,0,0,0,0,nouns,,,,no,18
item_180,English (American),WS,word,clothing,sweater,sweater,sweater,0,1,0,0,0,nouns,,,,no,26
item_181,English (American),WS,word,clothing,tights,tights,tights,0,1,0,0,0,nouns,,,,no,
item_182,English (American),WS,word,clothing,underpants,underpants,underpants,0,1,0,0,0,nouns,,,,no,28
item_183,English (American),WS,word,clothing,zipper,zipper,zipper,0,1,0,0,0,nouns,,,,no,26
item_184,English (American),WS,word,body_parts,ankle,ankle,ankle,0,0,0,1,0,nouns,,,,no,30
item_185,English (American),WS,word,body_parts,arm,arm,arm,0,0,0,1,0,nouns,,,,no,23
item_187,English (American),WS,word,body_parts,buttocks,buttocks,butt,0,0,0,1,0,nouns,,,bottom,no,23
item_188,English (American),WS,word,body_parts,cheek,cheek,cheek,0,0,0,1,0,nouns,,,,no,24
item_189,English (American),WS,word,body_parts,chin,chin,chin,0,0,0,1,0,nouns,,,,no,25
item_19,English (American),WS,word,animals,bug,bug,bug,1,0,0,0,0,nouns,,,,no,23
item_190,English (American),WS,word,body_parts,ear,ear,ear,0,0,0,1,0,nouns,,,,no,19
item_191,English (American),WS,word,body_parts,eye,eye,eye,0,0,0,1,0,nouns,,,,no,18
item_192,English (American),WS,word,body_parts,face,face,face,0,0,0,1,0,nouns,,,,no,24
item_193,English (American),WS,word,body_parts,finger,finger,finger,0,0,0,1,0,nouns,,,,no,23
item_194,English (American),WS,word,body_parts,foot,foot,foot,0,0,0,1,0,nouns,,,,no,22
item_195,English (American),WS,word,body_parts,hair,hair,hair,0,0,0,1,0,nouns,,,,no,21
item_196,English (American),WS,word,body_parts,hand,hand,hand,0,0,0,1,0,nouns,,,,no,22
